name|site|description
OL&#xCD;N OPERADORA|http://www.destinosolinoperadora.com| OLÍN OPERADORA www.destinosolinoperadora.com OLÍN OPERADORA, S.A. DE C.V. Ofrece programs de viajes en México, Canadé, E.U.A., Centro y Sudamérica, Caribe, Europa y Rusia, Medio Oriente y África, Asia Central y Oriente, Australia y Oceanía, así como Cruceros. Av. Insurgentes Sur No.1677 - 7o. Piso. Ofic. 702. Col. Guadalupe Inn C. P. 01020 Ciudad: Del. Álvaro Obregón , México, D.F. Mapa no disponible Enviar correo Tel: (55) 3003-4600 Fax: (55) 3003-4610 Res. Nacionales Tel: Lada MEX 800 888-4600 
OLLYN TOURS|javascript:void(0);| OLLYN TOURS OLLYN TOURS Colima No.209 - Desp. 102. Col. Roma Norte C. P. 06700 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Enviar correo Tel: (55) 5511-4188 Fax: (55) 5207-7368 
OMEXTUR |http://www.omextur.com.mx| OMEXTUR www.omextur.com.mx OMEXTUR - OPERADORA MEXICANA DE TURISMO Operadora de Turismo Receptivo Además de ofrecer servicio de transportación turística, ofrece programas de viaje y circuitos en México. Av. Nuevo León No.213 - Desp. 501. Col. Hipódromo de la Condesa C. P. 06100 Ciudad: Del. Cuauhtémoc , México, D.F. Mapa no disponible Enviar correo Tel: (55) 1084-3708/3709` Fax: (55) 6236-8244/8245 
OMEXTUR|http://www.omextur.com.mx| OMEXTUR www.omexturviajes.com www.omextur.com.mx Hay 1 sucursales más de OMEXTUR: Del. Cuauhtémoc, México, D.F. OMEXTUR VIAJES Forma parte de Omextur S.A de C.V. - Operadora Mexicana de Turismo Dickens No.33 Col. Polanco C. P. 11510 Ciudad: Del. Miguel Hidalgo , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5281-6166 Tel: (55) 5378-6158 Fax: Pedir tono 
OMP|http://www.omplaza.com.mx| OMP www.omplaza.com.mx OMP - OPERADORA MAYORISTA PLAZA, S.A. DE C.V. Ofrece programas de viaje a: Canadá, Estados Unidos, Centro y Sudamérica, Europa, India, Medio Oriente, Oriente, Australia, Nueva Zelanda y África. Guanajuato No.131 - Desp. 301. Col. Roma Norte C. P. 06700 Ciudad: Del. Cuauhtémoc , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5208-3544/9945 Tel: (55) 5525-0202 Fax: (55) 5525-0210 
&#xD3;PERA TRAVEL&apos;S|http://www.operatravels.com.mx| ÓPERA TRAVEL'S www.operatravels.com.mx ÓPERA TRAVEL'S Fray Servando Teresa de Mier No.1033 - Desp. 1. Col. Jardín Balbuena C. P. 15900 Ciudad: Del. Venustiano Carranza , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5762-2079 Tel: (55) 2598-9715 Fax: Pedir tono Tel: Lada MEX 800 838-6835 
OPERADORA DE AGENCIAS TUR&#xCD;STICAS|javascript:void(0);| OPERADORA DE AGENCIAS TURÍSTICAS OPERADORA DE AGENCIAS TURÍSTICAS Sófocles No.145 Col. Polanco C. P. 11540 Ciudad: Del. Miguel Hidalgo , México, D.F. Ver mapa Tel: (55) 1084-2121/2122 
TIENDAS DE VACACIONES|http://www.geocities.com./hadadviajes| TIENDAS DE VACACIONES www.geocities.com./hadadviajes OPERADORA DE TIENDAS DE VACACIONES S.A. DE C.V. Dr. J. Velasco No.162 - Int. 15 Col. Doctores C. P. 06720 Ciudad: Del. Cuauhtémoc , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5578-7926 Fax: (55) 5578-7440 Res. Nacionales Tel: Lada MEX 800 546-2457 
OPERADORA DE VIAJES XEL-H&#xC1;|undefined| OPERADORA DE VIAJES XEL-HÁ OPERADORA DE VIAJES XEL-HÁ, S.A. DE C.V. Calle Esperanza No.125 - A - Int. 3. Col. Industrial C. P. 07800 Ciudad: Del. Gustavo A. Madero , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5781-3367, 5750-0555 
OPERADORA EXC&#xC9;LSIOR / NAWAS INTERNACIONAL|javascript:void(0);| OPERADORA EXCÉLSIOR / NAWAS INTERNACIONAL OPERADORA EXCÉLSIOR / NAWAS INTERNACIONAL Primera Operadora Boutique Promueven conjuntamente los productos Rail Europe, Gullivers Travel GTA y Tourico, además de los que ofrece Nawas Internacional. Solón No.337 Col. Polanco C. P. 11570 Ciudad: Del. Miguel Hidalgo , México, D.F. Ver mapa Enviar correo Tel: (55) 3098-8869/8888 Fax: (55) 5281-2091 Tel: Lada MEX 800 500-0014 
OPERADORA LINUSA|http://www.linusa.com.mx| OPERADORA LINUSA www.barrancaschihuahua.com www.linusa.com.mx Hay 1 sucursales más de OPERADORA LINUSA: Chihuahua, Chihuahua OPERADORA LINUSA Sucursal México, D.F. Génova No.20 - Desp. 506. Col. Juárez C. P. 06600 Ciudad: Del. Cuauhtémoc , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5514-6301 Fax: (55) 5514-5605 Res. Nacionales Tel: |Lada MEX 800 712-1596 
CITUR DIAMOND|http://www.citurdiamond.com| CITUR DIAMOND www.citurdiamond.com OPERADORA MAYORISTA CITUR DIAMOND CORPORATE, S.A. DE C.V. Club de viajes y operadora que ofrece programas de viaje en los continentes americano, asiático y europeo, así como en África y Oceanía. Río Nazas No.20 - 2o. Piso. Col. Cuauhtémoc C. P. 06500 Ciudad: Del. Cuauhtémoc , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5535-3934, 5566-8651 
OPERADORA MAYORISTA DIAMANTE|http://www.omdiamante.com| OPERADORA MAYORISTA DIAMANTE www.omdiamante.com OPERADORA MAYORISTA DIAMANTE, S.A. DE C.V. Ofrece programas de viaje a: Europa, Norte, Centro y Sudamérica, Medio y Lejano Oriente y excursiones en México. Bajío No.369 - Desp. 402. Col. Hipódromo de la Condesa C. P. 06140 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Enviar correo Tel: (55) 5564-9176, 5584-3473 Fax: (55) 2454-0249 Tel: (55) 2454-0246 al 48 
OPERADORA POLINESIA|http://www.operadorapolinesia.net| OPERADORA POLINESIA www.operadorapolinesia.net OPERADORA POLINESIA, S.A. DE C.V. Ofrece programas de viaje a Hawaii, Tahiti y otros destinos exóticos en el Pacífico Sur. Alfonso Esparza Oteo No.144 - Desp. 401 Col. Guadalupe Inn C. P. 01020 Ciudad: Del. Álvaro Obregón , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5662-3411 Fax: (55) 5662-2916 Tel: Lada MEX 800 021-HAWAI 
OPERADORA SERAF&#xCD;N VALLE|javascript:void(0);| OPERADORA SERAFÍN VALLE OPERADORA SERAFÍN VALLE, S.A. DE C.V. Tlacotalpan No.140 Col. Roma Sur C. P. 06760 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Enviar correo Tel: (55) 5564-0458/0653 Fax: (55) 5264-1810 
OPERADORA TUR&#xCD;STICA 2000|http://www.turistica2000.com.mx| OPERADORA TURÍSTICA 2000 www.turistica2000.com.mx OPERADORA TURÍSTICA 2000, S.A. DE C.V. Ofrece programas de viaje en paquetes a diversas regiones de México. Eje 5 Sur No.850 - Edif. 12 - Depto. I-2. Depto. 102. Fracc. Hda. de las Flores. Col. Ejército Constitucionalista C. P. 09220 Ciudad: Del. Iztapalapa , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5096-6644 Fax: (55) 5745-4432 Res. Nacionales Tel: Lada MEX 800 503-2832 
GANAVACACIONES|http://www.ganavacaciones.com| GANAVACACIONES www.ganavacaciones.com OPERADORA TURÍSTICA GANAVACACIONES, S.A. DE C.V. Es un Club de Viajes que requiere de contraseña para acceder a sus servicios. Atención sólo a través de su página Web s/n Col. Del Valle C. P. 03100 Ciudad: Del. Benito Juárez , México, D.F. Mapa no disponible Enviar correo 
IZAMAL OPERADORA TUR&#xCD;STICA|undefined| IZAMAL OPERADORA TURÍSTICA OPERADORA TURÍSTICA IZAMAL, S.A. DE C.V. Toltecas No.Mzn. 103, Lote 8 Col. Ajusco C. P. 04300 Ciudad: Del. Coyoacán , México, D.F. Mapa no disponible Tel: (55) 5618-8513, 5338-9271 
OPERADORA TUR&#xCD;STICA MIRANDA|http://www.vacacionesenmexico.com.mx| OPERADORA TURÍSTICA MIRANDA www.vacacionesenmexico.com.mx OPERADORA TURÍSTICA MIRANDA, S.A. DE C.V. México, D.F. - Oficina Matriz Ofrece programas de viaje en México, incluyendo playas, Barrancas del Cobre, ciudades coloniales, etc. Av. Copilco No.76 - Local 12. Entre Cuauhtémoc y Eje 10. Col. Copilco El Bajo C. P. 04340 Ciudad: Del. Coyoacán , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5616-0507 Tel: (55) 5550-5668/5121 
MORELOS TRAVEL|javascript:void(0);| MORELOS TRAVEL Hay 1 sucursales más de MORELOS TRAVEL: Mun. Jiutepec, Morelos OPERADORA TURÍSTICA MORELOS TRAVEL México, D.F. - Sucursal Ofrece programas de viaje en México, principalmente en los estados de Morelos y Guerrero, así como a Estados Unidos, Europa, etc. Andrés Molina Enríquez s/n - Esq. Coruña. Módulo Azul Esmeralda. Col. Viaducto Piedad C. P. 08200 Ciudad: Del. Iztacalco , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5530-9950 
OPERADORA TUR&#xCD;STICA P&#xC9;REZ|undefined| OPERADORA TURÍSTICA PÉREZ OPERADORA TURÍSTICA PÉREZ Av. 583 No.51 Col. San Juan de Aragón, Sec. 3 C. P. 07950 Ciudad: Del. Gustavo A. Madero , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5799-5542 Tel: 55) 5796-6361 Fax: Pedir tono 
OPERADORA TUR&#xCD;STICA SANSOR|undefined| OPERADORA TURÍSTICA SANSOR OPERADORA TURÍSTICA SANSOR Galicia No.279 - Entre Xola y Correspondencia. Col. Álamos C. P. 03400 Ciudad: Del. Benito Juárez , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5538-9814 Fax: Pedir tono 
ZAVATOURS |http://www.zavatours.com| ZAVATOURS www.zavatours.com OPERADORA TURÍSTICA ZAVATOURS Temporalmente, atención telefónica y por correo s/n C. P. 03400 Ciudad: Del. Benito Juárez , México, D.F. Mapa no disponible Enviar correo Tel: (55) 1054-8733/8903 
OPERADORA TURISTIK INTERNACIONAL|http://www.turisticainternacional.com.mx| OPERADORA TURISTIK INTERNACIONAL www.turisticainternacional.com.mx OPERADORA TURISTIK INTERNACIONAL, S.A. DE C.V. Su página Web abre a Magnicharters. Calz. Ignacio Zaragoza No.1450 - Local A-2 Col. Juan Escutia C. P. 09100 Ciudad: Del. Iztapalapa , México, D.F. Mapa no disponible Enviar correo Tel: (55) 1999-1611 Fax: Pedir tono 
OPERADORA VTO VIAJES|http://www.vtoviajes.com| OPERADORA VTO VIAJES www.vtoviajes.com OPERADORA VTO VIAJES Razón Social: COMERCIALIZADORA ODARSA Ofrece programas de viaje a Canadá, Estado Unidos, Europa, Oriente y Sudamérica. Av. Central No.219 Col. Tolteca C. P. 01150 Ciudad: Del. Álvaro Obregón , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5277-8134 Tel: (55) 5276-2788 Fax: Pedir tono 
OPERADORA Y TRANSPORTADORA ORTEGA|http://www.ortegatravel.com| OPERADORA Y TRANSPORTADORA ORTEGA www.ortegatravel.com OPERADORA Y TRANSPORTADORA TURÍSTICA ORTEGA Ofrece tours, hoteles, transportación y circuitos en México. Versalles No.50 - 1er. Piso. Ofic. 102. Col. Juárez C. P. 06600 Ciudad: Del. Cuauhtémoc , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5511-4629, 5514-4840 
OPESA|http://www.opesa.com.mx| OPESA www.opesa.com.mx Hay 1 sucursales más de OPESA: Monterrey, Nuevo León OPESA - ORGANIZACIÓN PROMOTORA DE EXCURSIONES, S.A. Serapio Rendón No.70 - B Col. San Rafael C. P. 06470 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Enviar correo Tel: (55) 5591-0633 Fax: (55) 5535-4346 Res. Nacionales Tel: Lada MEX 800 024-6737 
OPTAR TOURS|javascript:void(0);| OPTAR TOURS OPTAR TOURS, S.A. DE C.V. Av. Coyoacán No.1808 PB. Col. Del Valle C. P. 03100 Ciudad: Del. Benito Juárez , México, D.F. Ver mapa Enviar correo Tel: (55) 5534-3804 Fax: (55) 5524-6970 
ORBIS TURISMO DE M&#xC9;XICO|javascript:void(0);| ORBIS TURISMO DE MÉXICO ORBIS TURISMO DE MÉXICO, S.A. DE C.V. Balderas No.33 - Desp. 410. Col. Centro C. P. 06040 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Enviar correo Tel: (55) 5512-3069/5183 Fax: (55) 5512-6829 
ORGANIZACI&#xD3;N CARIMUNDI|http://www.carimundi.com| ORGANIZACIÓN CARIMUNDI www.carimundi.com ORGANIZACIÓN CARIMUNDI, S.A. DE C.V. Homero No.109 - Desp. 305 Col. Chapultepec Morales C. P. 11570 Ciudad: Del. Miguel Hidalgo , México, D.F. Ver mapa Enviar correo Tel: (55) 5203-6514 Tel: 5254-6458 Tel: 5254-6472 Tel: 01 (800) 2219220 Fax: 5203-8697 
ORGANIZACI&#xD3;N TUR&#xCD;STICA MUNDIAL|javascript:void(0);| ORGANIZACIÓN TURÍSTICA MUNDIAL ORGANIZACIÓN TURÍSTICA MUNDIAL, S.A. DE C.V. Pilares No.929 PB. - Entre Uxmal y Xochicalco. Col. Letrán Valle C. P. 03650 Ciudad: Del. Benito Juárez , México, D.F. Ver mapa Enviar correo Tel: (55) 5605-4120, 5688-3137 Fax: (55) 5605-4378 
ORI&#xD3;N TOURS|javascript:void(0);| ORIÓN TOURS ORIÓN TOURS, S.A. DE C.V. Kelvin No.8 - 1er. Piso Col. Anzures C. P. 11590 Ciudad: Del. Miguel Hidalgo , México, D.F. Ver mapa Enviar correo Tel: (55) 5250-4363 Fax: 5203-2043 
OS-LIVE AGENCIA DE VIAJES|undefined| OS-LIVE AGENCIA DE VIAJES OS-LIVE AGENCIA DE VIAJES, S.A. DE C.V. Tonalá No.342 - Local D. Col. Roma C. P. 06760 Ciudad: Del. Cuauhtémoc , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5564-7232 Fax: (55) 5564-8798 
OTEP|http://www.otep.com.mx| OTEP www.otep.com.mx OTEP - OPERADORA TURÍSTICA DE EVENTOS PROFESIONALES, S.A. DE C.V. Av. Insurgentes Centro No.96 - Int. 129, en el Hotel Irys Astoria. Col. Tabacalera C. P. 06030 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Enviar correo Tel: (55) 5207-7007/6875 
OTUMEX|javascript:void(0);| OTUMEX OTUMEX - OPERADORA TURÍSTICA MEXICANA Tonalá No.121 - 3er. Piso, Desp. 306. Col. Roma C. P. 06700 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Enviar correo Tel: (55) 5564-3445/0731 Fax: (55) 5584-5819 
OVETUR TRAVEL|http://oveturonline.exodus.mx| OVETUR TRAVEL oveturonline.exodus.mx OVETUR TRAVEL Razón Social: OVETUR Operadora de Viajes y Excursiones Turísticas Reforma Agraria No.Mnz. 7. Lote 21. Col. Emiliano Zapata C. P. 04919 Ciudad: Del. Coyoacán , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5608-1195 
PAC&#xCD;FICA TOURS DE GOLF|http://mapas.mapasactivos.com/mapasactivos/map_selector3.asp?s=9063&u=18413&c=257&cd=0&ss=Q0FMWiBERSBUTEFMUEFO&cs=UFVFQkxPIFNBTiBMT1JFTlpPIEhVSVBVTENP&cps=MTQzNzA=| PACÍFICA TOURS DE GOLF Hay 1 sucursales más de PACÍFICA TOURS DE GOLF: Ixtapa Zihuatanejo, Guerrero PACÍFICA TOURS DE GOLF Oficinas en México, D.F. Calz. de Tlalpan No.3604 Col. San Lorenzo Huipulco C. P. 14370 Ciudad: Del. Tlalpan , México, D.F. Ver mapa Enviar correo Tel: (55) 5487-5230 Fax: Pedir tono Fax: (55) 5487-5200 Ext. 5201 
PAOLA TOURS|javascript:void(0);| PAOLA TOURS PAOLA TOURS, S.A. DE C.V. Av. Universidad No.535 - B Col. Narvarte C. P. 03020 Ciudad: Del. Benito Juárez , México, D.F. Ver mapa Enviar correo Tel: (55) 5559-1110/5322 Tel: (55) 5575-1428/2886 Fax: (55) 5559-0066 
P&#xC1;RAMO TOURS|undefined| PÁRAMO TOURS PÁRAMO TOURS AGENCIA DE VIAJES General Pomo No.93 Col. Industrial C. P. 07800 Ciudad: Del. Gustavo A. Madero , México, D.F. Jazmin Ivette Paramo Villa paramotours.jazminivette@gmail.com Mapa no disponible Enviar correo Tel: (55) 5577-0353 
PE-TRA LA OPERADORA MEXICANA DE VIAJES|http://www.petra.mx| PE-TRA LA OPERADORA MEXICANA DE VIAJES www.petra.mx Hay 5 sucursales más de PE-TRA LA OPERADORA MEXICANA DE VIAJES: Cuernavaca, Morelos Guadalajara, Jalisco Monterrey, Nuevo León Puebla, Puebla Querétaro, Querétaro PE-TRA LA OPERADORA MEXICANA DE VIAJES México, D.F. - Oficina Matriz - Razón Social: PTB Tours de México, S.A. de C.V. Ofrece programas a: Europa (Circuitos Ibéricos, Europa del Este, Escandinavia y Rusia, las Dos Europas); Centro y Sudamérica, Estados Unidos, Canadá, Oriente y Medio Oriente y programas de Turismo Receptivo en México. Aguascalientes No.116 Col. Roma Sur C. P. 06760 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Enviar correo Tel: (55) 5265-6000 Fax: (55) 5265-5025 Tel: Lada MEX 800 909-1200 Tel: Lada MEX 800 909-1400 
PELICAN SKY TOURS|javascript:void(0);| PELICAN SKY TOURS PELICAN SKY TOURS Tampico No.41 - A - Entre Sonora y Veracruz. Col. Roma Norte C. P. 06700 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Enviar correo Tel: (55) 5553-1410 Fax: (55) 5553-8685 
PELIKAN SKY TOURS M&#xC9;XICO|undefined| PELIKAN SKY TOURS MÉXICO PELIKAN SKY TOURS MÉXICO Tampico No.41 - A Col. Roma C. P. 06700 Ciudad: Del. Cuauhtémoc , México, D.F. Mapa no disponible Tel: (55) 5553-1410 Fax: (55) 5553-8685 Tel: (55) 5286-3263 
PERIPLO VIAJES|javascript:void(0);| PERIPLO VIAJES PERIPLO VIAJES, S.A. Bahía Magdalena No.136 Col. Verónica Anzures C. P. 11300 Ciudad: Del. Miguel Hidalgo , México, D.F. Ver mapa Enviar correo Tel: (55) 5260-2220 Tel: 5260-0720 Fax: 5260-0468 
PERTOURS |http://www.pertoursmexico.com| PERTOURS www.pertoursmexico.com PERTOURS VIAJES Y TURISMO Ofrece programas de viaje en México. Orozco y Berra No.193 Col. Santa María La Ribera C. P. 06400 Ciudad: Del. Cuauhtémoc , México, D.F. Ail: pertoursmex@prodigy.net.mx Esta dirección de correo electrónico está protegida contra los robots de spam, necesitas tener J Mapa no disponible Enviar correo Tel: (55) 5512 7220/2606 Fax: (55) 5512 7210 
PHILLIPS TURISMO INTERNACIONAL|javascript:void(0);| PHILLIPS TURISMO INTERNACIONAL PHILLIPS TURISMO INTERNACIONAL, S.A. DE C.V. Av. Coyoacán No.1878 - Desp. 606 Col. Del Valle C. P. 03100 Ciudad: Del. Benito Juárez , México, D.F. Ver mapa Enviar correo Tel: (55) 5524-0422, 5534-4236 Tel: (55) 5524-0420 Fax: Pedir tono 
PLANEACI&#xD3;N E INTEGRACI&#xD3;N TUR&#xCD;STICA|undefined| PLANEACIÓN E INTEGRACIÓN TURÍSTICA PLANEACIÓN E INTEGRACIÓN TURÍSTICA, S.A. DE C.V. Prado Norte No.531 - C Col. Lomas de Chapultepec C. P. 11000 Ciudad: Del. Miguel Hidalgo , México, D.F. Mapa no disponible Enviar correo Conm. 8 líneas Tel: (55) 1055-2800 Fax: (55) 5520-4742 
PLANEACI&#xD3;N TUR&#xCD;STICA|undefined| PLANEACIÓN TURÍSTICA PLANEACIÓN TURÍSTICA, S.A. DE C.V. Esperanza No.30 Col. La Cruz C. P. 08310 Ciudad: Del. Iztacalco , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5264-0822 Fax: Pedir tono 
POTTRO VIAJES|http://www.pottroviajes.com| POTTRO VIAJES www.pottroviajes.com Hay 1 sucursales más de POTTRO VIAJES: Acapulco, Guerrero POTTRO VIAJES Razón Social: POTRO VIAJES, S.A. DE C.V. Ofrece programas de paquetes de viaje de American Express, cruceros, tours en el Distrito Federal y zonas cercanas y es agencia autorizada para operar turismo a/de China. Av. Insurgentes Sur No.1235 - 6o. Piso. Col. Extremadura Insurgentes C. P. 03740 Ciudad: Del. Benito Juárez , México, D.F. ©2009 POTTRO VIAJES, S.A. DE C.V. Insurgentes Sur #1235 Col. Extremadura Insurgentes C.P. 03740, Del. Benito J Mapa no disponible Enviar correo Tel: (55) 5688-6097, 5604-0214 
PREMIUM TRAVEL|http://www.premiumtravel.com.mx| PREMIUM TRAVEL www.premiumtravel.com.mx PREMIUM TRAVEL, S.A. DE C.V. Ofrece programas de viajes en México. Lamartine No.240 - Desp. 102 Col. Chapultepec Morales C. P. 11570 Ciudad: Del. Miguel Hidalgo , México, D.F. Ver mapa Enviar correo Tel: (55) 5545-1007 Tel: (55) 5545-1718 Fax: Pedir tono 
PRICE TRAVEL HOLDINGS|http://www.pricetravel.com.mx| PRICE TRAVEL HOLDINGS www.pricetravel.com.mx Hay 2 sucursales más de PRICE TRAVEL HOLDINGS: Cancún, Quintana Roo Chihuahua, Chihuahua PRICE TRAVEL HOLDINGS México, D.F. - Oficina Matriz Ofrece programas de viaje en México y a: Argentina, Colombia, Cuba, Estados Unidos, República Dominicana, Europa, Medio Oriente, Asia (India, China y Japón) y cruceros. Presa Salinillas No.370 - Desp. 502. Col. Irrigación C. P. 11500 Ciudad: Del. Miguel Hidalgo , México, D.F. Mapa no disponible Tel: (55) 9171-7474 Res. Nacionales Tel: Lada MEX 800 285-7283 
PRIM EVENTOS|http://www.prim.com.mx| PRIM EVENTOS www.prim.com.mx PRIM EVENTOS, S.A. DE C.V. Cacahuamilpa No.23 Col. Hipódromo de la Condesa C. P. 06170 Ciudad: Del. Cuauhtémoc , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5525-2126 Fax: (55) 5525-2056 
PRIVALIA TRAVEL|http://mex.privalia.com| PRIVALIA TRAVEL mex.privalia.com PRIVALIA TRAVEL Vicente Eguía No.8 Col. San Miguel Chapultepec C. P. 11850 Ciudad: Del. Miguel Hidalgo , México, D.F. Mapa no disponible Tel: (55) 4770-7753 
PROFESIONALES EN CONVENCIONES|http://www.proconvenciones.com| PROFESIONALES EN CONVENCIONES www.proconvenciones.com Hay 2 sucursales más de PROFESIONALES EN CONVENCIONES: Monterrey, Nuevo León San Andrés Cholula, Puebla PROFESIONALES EN CONVENCIONES, S.A. DE C.V. México, D.F. - Oficina Matriz Montecito No.38 - Piso 27, Ofic. 28, en el WTC. Col. Nápoles C. P. 03810 Ciudad: Del. Benito Juárez , México, D.F. Mapa no disponible Enviar correo Tel: (55) 9000-3400 Fax: (55) 9000-3401 Tel: Lada MEX 800 087-3400 
PROFESIONALES EN TURISMO E INCENTIVOS|undefined| PROFESIONALES EN TURISMO E INCENTIVOS PROFESIONALES EN TURISMO E INCENTIVOS, S.A. DE C.V. Plaza Luis Cabrera No.16 Col. Roma Sur C. P. 06700 Ciudad: Del. Cuauhtémoc , México, D.F. Lobby del Hotel Casa de la Condesa. Mapa no disponible Tel: (55) 5564-0061 Tel: 55640331 Tel: 5574-3186 
PROFESIONALES EN VIAJES|http://www.profesionalesenviajes.com| PROFESIONALES EN VIAJES www.profesionalesenviajes.com PROFESIONALES EN VIAJES La Joya No.242 - Edif. A. 401. Col. Valle Escondido C. P. 14600 Ciudad: Del. Tlalpan , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5489-2851 
PROFESOR 8a|undefined| PROFESOR 8a PROFESOR 8a SERVICIOS DE VIAJE Blvd. Adolfo López Mateos - Periférico Sur No.175 - Esq. Murillo. Col. Mixcoac C. P. 03910 Ciudad: Del. Benito Juárez , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5598-5927/5865 Tel: (55) 5598-5741 Fax: Pedir tono 
PROFESSIONAL TRAVEL|undefined| PROFESSIONAL TRAVEL PROFESSIONAL TRAVEL Razón Social: SERTUPRO, S.A. DE C.V. Ignacio Allende No.133 Col. Clavería C. P. 02080 Ciudad: Del. Azcapotzalco , México, D.F. Mapa no disponible Enviar correo Tel: Lada MEX 800 836-8101 Tel: (55) 5533-7624/7717 
PROFETUR|http://www.profetur.com.mx| PROFETUR www.profetur.com.mx PROFETUR - PROFESIONALES EN TURISMO, S.A. DE C.V. Londres No.161 - Torre A. 3er. Piso, Desp. 3-B. Col. Juárez C. P. 06600 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Enviar correo Tel: (55) 5533-0820 al 25 Res. Nacionales Tel: Lada MEX 800 752-5252 
PROGRAMUNDO DE VIAJES|undefined| PROGRAMUNDO DE VIAJES PROGRAMUNDO DE VIAJES, S.A. DE C.V. San Francisco No.1526 Col. Del Valle C. P. 03100 Ciudad: Del. Benito Juárez , México, D.F. Mapa no disponible Tel: (55) 5575-1790 Tel: 5575-3946 Fax: 5559-5048 
PREVISA|http://www.previsaviajes.com.mx| PREVISA www.previsaviajes.com.mx PROMOTORA DE EVENTOS Y VIAJES, S.A. DE C.V. Dakota No.359 - 4o. Piso. Col. Nápoles C. P. 03810 Ciudad: Del. Benito Juárez , México, D.F. Ver mapa Tel: (55) 5536-9600 Ext. 410 
PROMOTORA DE VIAJES ALFA DELTA|undefined| PROMOTORA DE VIAJES ALFA DELTA PROMOTORA DE VIAJES ALFA DELTA José Ma. Izazaga No.158 - Int. 2. Col. Centro Histórico C. P. 06090 Ciudad: Del. Cuauhtémoc , México, D.F. Mapa no disponible Enviar correo Tel: (55) 5522-2072 Fax: (55) 5797-7833 
PROMOTORA DE VIAJES ELYFER|undefined| PROMOTORA DE VIAJES ELYFER PROMOTORA DE VIAJES ELYFER Av. 412 No.Esq. 1535 - 6a. Sección Col. San Juan de Aragón C. P. 07920 Ciudad: Del. Gustavo A. Madero , México, D.F. Mapa no disponible Enviar correo Tel: (55) 3613-5899, 5796-3703 
PROMOTORA DE VIAJES UNIVERSALES|javascript:void(0);| PROMOTORA DE VIAJES UNIVERSALES PROMOTORA DE VIAJES UNIVERSALES, S.A. DE C.V. Bucareli No.12 - 3er. Piso Col. Centro C. P. 06040 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Tel: (55) 5512-7120 Tel: 5512-7384 Tel: 5512-7482 Tel: 5709-1313 / 5350 Fax: 5512-7120 
PROTOURS SERVICES|http://www.proturs.com.mx| PROTOURS SERVICES www.proturs.com.mx Hay 1 sucursales más de PROTOURS SERVICES: Guadalajara, Jalisco PROTOURS SERVICES, S.A. DE C.V. México, D.F. - Oficina Matriz Ofrece programas de viaje a Cuba. Av. Insurgentes Sur No.295 - B Col. Hipódormo de la Condesa C. P. 06100 Ciudad: Del. Cuauhtémoc , México, D.F. Ver mapa Enviar correo Tel: (55) 5264-4497 Fax: (55) 5574-8163 
PUNTA DEL ESTE OPERADORA|http://www.puntadelesteoperadora.com| PUNTA DEL ESTE OPERADORA www.puntadelesteoperadora.com PUNTA DEL ESTE OPERADORA, S.A. DE C.V. Ofrece programas de viaje al Caribe (Cuba, Rep. Dominicana), Centro y Sudamérica. Es la Oficina de Ventas en México de Pluna Líneas Aéreas Uruguayas. Amores No.1112 Col. Del Valle C. P. 03100 Ciudad: Del. Benito Juárez , México, D.F. Mapa no disponible Enviar correo Tel: (55) 3096-2937/2939 Tel: Lada MEX 800 638-0028 Ofna. Toluca Tel: (722) 319-1424 Correo: toluca@puntadelesteoperadora.com 
